How emotionally attached to [country],Born in country,Citizen of country,How happy are you,Subjective general health,Hampered in daily activities by illness/disability/infirmity/mental problem,How many people with whom you can discuss intimate and personal matters,How religious are you,Take part in social activities compared to others of same age,"How often socially meet with friends, relatives or colleagues",Number of people living regularly as member of household,Gender,Year of birth,"Age of respondent, calculated","Improve knowledge/skills: course/lecture/conference, last 12 months",Doing last 7 days: permanently sick or disabled,Partner doing last 7 days: permanently sick or disabled,Ever been divorced/had civil union dissolved,Doing last 7 days: education,Partner doing last 7 days: education,Highest level of education,Years of full-time education completed,Employment relation,Establishment size,Feeling about household's income nowadays,Main source of household income,"Household's total net income, all sources","Doing last 7 days: housework, looking after children, others","Partner doing last 7 days: housework, looking after children, others",Allowed to influence policy decisions about activities of organisation,"Occupation, ISCO08",Responsible for supervising other employees,Father's occupation when respondent 14,Doing last 7 days: paid work,Partner doing last 7 days: paid work,Doing last 7 days: retired,Partner doing last 7 days: retired,What type of organisation work/worked for,Ever unemployed and seeking work for a period more than three months,"Doing last 7 days: unemployed, actively looking for job","Partner doing last 7 days: unemployed, actively looking for job","Doing last 7 days: unemployed, not actively looking for job","Partner doing last 7 days: unemployed, not actively looking for job",Total hours normally worked per week in main job overtime included,Employment contract unlimited or limited duration,Allowed to decide how daily work is organised,"Industry, NACE rev.2","Highest level of education, Spain",Online/mobile communication makes work and personal life interrupt each other,Online/mobile communication makes it easy to coordinate and manage activities,Online/mobile communication undermines personal privacy,Parent lives in same household,"Work from home or place of choice, how often","Employees expected to work overtime, how often","Employees expected to be responsive outside working hours, how often",Respondent have a line manager,"Line manager supports employees in balancing work, how much","Line manager gives work-related help, how likely","Line manager and respondent are at the same workplace, how often","Speak with line manager about work in person, how often","Communicate with line manager about work via text, email or messaging apps, how often","Speak with line manager about work and see each other on a screen, how often","Speak with line about work manager using a phone, how often","Colleagues give work-related help, how likely","Speak with colleagues in person, how often","Communicate with colleagues about work via text, email or messaging apps, how often","Speak with colleagues about work and see each other on a screen, how often","Speak with colleagues about work using a phone, how often","Too tired after work to enjoy things like doing at home, how often","Job prevents you from giving time to partner/family, how often","Partner/family fed up with pressure of your job, how often",Current job: can decide time start/finish work,Region,The government takes measures to reduce differences in income levels,How satisfied are you in your main job
3.0,1.0,1.0,5.0,2.0,3.0,2.0,5.0,2.0,6.0,3.0,2.0,2002.0,20.0,2.0,0,0,2.0,0,0,322.0,2.0,1.0,1.0,3.0,,,0,0,3.0,9334.0,2.0,9.0,1,0,0,0,3.0,2.0,0,0,0,0,25.0,1.0,5.0,47.0,14.0,5.0,5.0,6.0,1.0,6.0,55.0,,1.0,5.0,2.0,1.0,6.0,6.0,7.0,6.0,1.0,3.0,7.0,7.0,7.0,2.0,4.0,3.0,1.0,ES61,10,8.0
10.0,1.0,1.0,8.0,2.0,3.0,2.0,8.0,2.0,2.0,4.0,2.0,1972.0,50.0,1.0,0,0,2.0,0,0,720.0,20.0,1.0,5.0,1.0,1.0,10.0,0,0,9.0,2413.0,1.0,2.0,1,1,0,0,4.0,1.0,0,0,0,0,40.0,1.0,9.0,64.0,19.0,6.0,10.0,8.0,2.0,3.0,5.0,5.0,1.0,10.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,ES30,7,9.0
8.0,1.0,1.0,7.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,1975.0,47.0,1.0,0,0,2.0,0,0,720.0,18.0,1.0,3.0,2.0,1.0,8.0,0,0,1.0,2352.0,2.0,9.0,1,1,0,0,1.0,1.0,0,0,0,0,,1.0,9.0,84.0,19.0,,9.0,9.0,2.0,2.0,55.0,,1.0,9.0,1.0,1.0,3.0,6.0,6.0,7.0,1.0,1.0,4.0,6.0,6.0,3.0,3.0,2.0,2.0,ES61,9,9.0
8.0,1.0,1.0,9.0,3.0,1.0,2.0,7.0,4.0,5.0,4.0,2.0,1986.0,36.0,2.0,0,0,2.0,0,0,322.0,18.0,1.0,5.0,2.0,1.0,6.0,0,0,1.0,5321.0,2.0,7.0,0,1,0,0,2.0,1.0,0,0,0,0,38.0,2.0,1.0,86.0,14.0,7.0,7.0,7.0,2.0,6.0,5.0,5.0,1.0,8.0,2.0,1.0,4.0,6.0,6.0,6.0,2.0,3.0,6.0,6.0,6.0,4.0,5.0,4.0,1.0,ES42,10,8.0
4.0,1.0,1.0,7.0,2.0,3.0,4.0,1.0,3.0,3.0,4.0,2.0,1988.0,34.0,1.0,0,0,2.0,0,0,520.0,2.0,1.0,3.0,3.0,1.0,7.0,0,0,0.0,4226.0,2.0,6.0,1,0,0,0,4.0,1.0,0,0,0,0,40.0,1.0,7.0,20.0,16.0,7.0,8.0,8.0,1.0,6.0,5.0,6.0,1.0,7.0,2.0,6.0,4.0,5.0,7.0,6.0,2.0,3.0,6.0,7.0,6.0,2.0,3.0,2.0,1.0,ES51,10,7.0
4.0,1.0,1.0,7.0,1.0,3.0,2.0,0.0,2.0,5.0,3.0,2.0,1992.0,30.0,2.0,0,0,2.0,0,0,720.0,7.0,1.0,3.0,2.0,1.0,9.0,0,0,7.0,3213.0,1.0,6.0,1,0,0,0,4.0,2.0,0,0,0,0,42.0,1.0,8.0,21.0,19.0,8.0,10.0,7.0,1.0,6.0,3.0,5.0,1.0,9.0,2.0,5.0,3.0,3.0,7.0,7.0,2.0,1.0,7.0,7.0,7.0,4.0,3.0,2.0,1.0,ES51,10,8.0
3.0,1.0,1.0,9.0,1.0,3.0,5.0,0.0,5.0,7.0,1.0,1.0,1966.0,56.0,1.0,0,0,2.0,1,0,720.0,26.0,1.0,4.0,1.0,,,1,0,8.0,2330.0,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0,0,50.0,2.0,8.0,85.0,19.0,8.0,10.0,5.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,ES21,9,9.0
8.0,1.0,1.0,8.0,2.0,3.0,4.0,2.0,4.0,6.0,2.0,1.0,1957.0,65.0,2.0,0,0,2.0,0,0,720.0,16.0,2.0,,1.0,2.0,10.0,0,0,10.0,1412.0,1.0,6.0,1,0,0,1,5.0,1.0,0,0,0,0,50.0,,10.0,56.0,19.0,5.0,7.0,8.0,,6.0,5.0,3.0,2.0,,,,,,,,2.0,1.0,6.0,7.0,1.0,3.0,3.0,3.0,2.0,ES51,8,8.0
2.0,1.0,1.0,8.0,1.0,3.0,4.0,0.0,5.0,6.0,1.0,2.0,1980.0,42.0,1.0,0,0,2.0,0,0,800.0,21.0,1.0,5.0,1.0,1.0,9.0,0,0,7.0,2211.0,2.0,1.0,1,0,0,0,2.0,2.0,0,0,0,0,37.0,1.0,7.0,86.0,20.0,7.0,9.0,6.0,2.0,6.0,6.0,4.0,1.0,8.0,1.0,2.0,3.0,4.0,6.0,5.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,ES62,7,8.0
6.0,2.0,2.0,8.0,2.0,3.0,3.0,6.0,3.0,5.0,2.0,1.0,1974.0,48.0,1.0,0,0,2.0,0,0,213.0,,,,4.0,1.0,2.0,0,0,,,,4.0,1,0,0,0,,1.0,0,0,0,0,,,,,7.0,2.0,9.0,3.0,2.0,6.0,4.0,6.0,1.0,9.0,1.0,5.0,6.0,5.0,5.0,7.0,2.0,1.0,3.0,3.0,7.0,4.0,3.0,3.0,1.0,ES52,9,1.0
8.0,2.0,1.0,8.0,2.0,3.0,2.0,5.0,5.0,4.0,5.0,1.0,1975.0,47.0,2.0,0,0,2.0,0,0,322.0,2.0,1.0,4.0,2.0,1.0,,0,0,4.0,9321.0,2.0,5.0,1,1,0,0,4.0,1.0,0,0,0,0,40.0,1.0,4.0,46.0,14.0,0.0,5.0,5.0,2.0,6.0,4.0,5.0,1.0,8.0,2.0,5.0,6.0,7.0,7.0,6.0,3.0,3.0,7.0,7.0,7.0,4.0,3.0,3.0,2.0,ES30,8,9.0
8.0,1.0,1.0,7.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,1961.0,61.0,2.0,0,1,2.0,0,0,311.0,12.0,1.0,5.0,1.0,1.0,9.0,0,0,4.0,3359.0,1.0,6.0,1,0,0,1,1.0,2.0,0,0,0,0,38.0,1.0,9.0,84.0,10.0,5.0,9.0,10.0,2.0,6.0,5.0,6.0,1.0,10.0,1.0,2.0,3.0,1.0,7.0,3.0,1.0,1.0,3.0,7.0,3.0,3.0,2.0,2.0,2.0,ES30,9,2.0
9.0,1.0,1.0,10.0,2.0,2.0,2.0,7.0,3.0,7.0,5.0,1.0,1985.0,37.0,2.0,0,0,2.0,0,0,213.0,3.0,3.0,3.0,2.0,1.0,4.0,0,1,0.0,3322.0,2.0,,1,0,0,0,4.0,1.0,0,0,0,0,40.0,1.0,0.0,10.0,9.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,2.0,,,,,,,,,,,,,3.0,2.0,3.0,3.0,ES42,2,10.0
3.0,1.0,1.0,8.0,3.0,2.0,4.0,1.0,4.0,6.0,1.0,1.0,1961.0,61.0,2.0,0,0,2.0,0,0,213.0,8.0,1.0,4.0,2.0,4.0,3.0,0,0,0.0,8160.0,2.0,9.0,1,0,1,0,4.0,1.0,0,0,0,0,40.0,1.0,0.0,10.0,8.0,5.0,8.0,7.0,,6.0,6.0,6.0,1.0,7.0,2.0,1.0,3.0,7.0,3.0,6.0,2.0,3.0,4.0,7.0,7.0,3.0,2.0,2.0,1.0,ES21,10,8.0
10.0,1.0,1.0,8.0,3.0,2.0,4.0,0.0,3.0,5.0,3.0,1.0,1975.0,47.0,1.0,0,0,2.0,0,0,213.0,,1.0,3.0,2.0,1.0,6.0,0,0,8.0,5131.0,1.0,7.0,0,1,0,0,6.0,2.0,0,0,0,0,45.0,1.0,8.0,56.0,8.0,5.0,5.0,8.0,2.0,6.0,6.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,2.0,3.0,3.0,2.0,ES51,10,8.0
8.0,1.0,1.0,6.0,2.0,3.0,5.0,0.0,4.0,6.0,1.0,1.0,1981.0,41.0,1.0,0,0,2.0,0,0,720.0,9.0,1.0,2.0,2.0,1.0,4.0,0,0,3.0,2421.0,2.0,5.0,1,0,0,0,6.0,1.0,0,0,0,0,37.0,1.0,4.0,94.0,19.0,5.0,10.0,5.0,2.0,2.0,3.0,3.0,1.0,9.0,3.0,3.0,4.0,1.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,ES30,10,7.0
6.0,1.0,1.0,7.0,3.0,3.0,4.0,5.0,3.0,6.0,5.0,2.0,1981.0,41.0,2.0,0,0,2.0,0,0,620.0,23.0,1.0,1.0,2.0,6.0,3.0,1,0,5.0,5223.0,2.0,7.0,1,1,0,0,4.0,1.0,0,0,0,0,29.0,1.0,5.0,47.0,18.0,7.0,7.0,8.0,2.0,6.0,5.0,6.0,1.0,8.0,1.0,1.0,1.0,6.0,7.0,7.0,1.0,2.0,3.0,7.0,7.0,3.0,4.0,3.0,2.0,ES61,7,5.0
10.0,1.0,1.0,7.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0,1.0,1981.0,41.0,1.0,0,0,2.0,0,1,313.0,15.0,1.0,2.0,1.0,1.0,7.0,1,1,7.0,8343.0,1.0,5.0,1,1,0,0,4.0,2.0,0,0,0,0,55.0,1.0,7.0,71.0,11.0,6.0,6.0,7.0,2.0,6.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,6.0,7.0,6.0,2.0,3.0,1.0,2.0,ES62,6,8.0
10.0,1.0,1.0,9.0,3.0,3.0,4.0,10.0,4.0,4.0,5.0,1.0,1979.0,43.0,1.0,0,0,2.0,0,0,720.0,20.0,1.0,3.0,3.0,1.0,2.0,1,1,5.0,1330.0,1.0,1.0,1,1,0,0,4.0,2.0,0,0,0,0,60.0,1.0,5.0,62.0,19.0,0.0,10.0,10.0,2.0,5.0,6.0,6.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,ES52,0,2.0
8.0,1.0,1.0,10.0,1.0,3.0,6.0,10.0,4.0,7.0,2.0,2.0,1972.0,50.0,1.0,0,0,2.0,0,0,720.0,7.0,1.0,1.0,1.0,1.0,6.0,0,0,3.0,2513.0,2.0,4.0,1,1,0,0,1.0,2.0,0,0,0,0,37.0,1.0,8.0,84.0,19.0,7.0,6.0,3.0,2.0,2.0,5.0,5.0,1.0,7.0,2.0,3.0,4.0,7.0,3.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,3.0,3.0,2.0,ES51,8,3.0
1.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0,3.0,4.0,3.0,2.0,1978.0,44.0,1.0,0,0,1.0,0,0,311.0,,1.0,3.0,3.0,1.0,5.0,0,0,8.0,3354.0,2.0,7.0,1,0,0,0,4.0,1.0,0,0,0,0,40.0,1.0,8.0,86.0,10.0,7.0,8.0,9.0,2.0,2.0,,,1.0,,,,,,,,,,,,,3.0,2.0,,2.0,ES51,8,5.0
10.0,2.0,1.0,10.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,2.0,1984.0,38.0,1.0,0,0,1.0,0,0,213.0,1.0,1.0,1.0,2.0,1.0,1.0,0,0,10.0,9112.0,2.0,4.0,1,0,0,0,4.0,1.0,0,0,0,0,35.0,1.0,10.0,81.0,9.0,10.0,10.0,5.0,2.0,6.0,6.0,6.0,1.0,10.0,1.0,6.0,6.0,6.0,7.0,5.0,,,,,,1.0,1.0,1.0,1.0,ES11,10,10.0
10.0,1.0,1.0,9.0,1.0,3.0,1.0,10.0,3.0,3.0,4.0,2.0,1956.0,66.0,1.0,0,0,2.0,0,0,720.0,20.0,1.0,3.0,1.0,1.0,,0,0,10.0,2211.0,2.0,6.0,1,1,0,0,2.0,2.0,0,0,0,0,35.0,1.0,10.0,86.0,19.0,0.0,10.0,10.0,,6.0,4.0,6.0,1.0,10.0,4.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,3.0,1.0,1.0,2.0,ES30,10,10.0
9.0,1.0,1.0,8.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,1985.0,37.0,1.0,0,0,2.0,0,0,520.0,21.0,1.0,1.0,1.0,4.0,7.0,0,0,8.0,3213.0,2.0,5.0,1,0,0,0,4.0,1.0,0,0,0,0,43.0,1.0,8.0,45.0,16.0,9.0,9.0,10.0,1.0,6.0,4.0,5.0,1.0,7.0,1.0,1.0,1.0,6.0,7.0,7.0,1.0,1.0,4.0,7.0,7.0,4.0,5.0,2.0,1.0,ES70,10,7.0
10.0,1.0,1.0,8.0,2.0,3.0,4.0,8.0,3.0,7.0,2.0,1.0,1959.0,63.0,2.0,0,0,2.0,0,0,129.0,15.0,2.0,,2.0,2.0,8.0,0,1,0.0,7411.0,2.0,7.0,1,0,0,0,5.0,2.0,0,0,0,0,40.0,,0.0,43.0,5.0,10.0,10.0,10.0,,6.0,55.0,,2.0,,,,,,,,,,,,,3.0,4.0,3.0,2.0,ES21,5,7.0
8.0,1.0,1.0,3.0,2.0,3.0,4.0,0.0,2.0,7.0,1.0,2.0,1990.0,32.0,2.0,0,0,2.0,0,0,520.0,3.0,2.0,,3.0,2.0,1.0,0,0,10.0,4226.0,1.0,4.0,1,0,0,0,4.0,1.0,0,0,0,0,40.0,,8.0,85.0,16.0,3.0,10.0,10.0,2.0,1.0,55.0,,2.0,,,,,,,,,,,,,3.0,1.0,4.0,3.0,ES30,10,10.0
6.0,1.0,1.0,7.0,2.0,3.0,3.0,0.0,1.0,5.0,2.0,2.0,1960.0,62.0,2.0,0,0,1.0,0,0,313.0,10.0,1.0,4.0,3.0,1.0,6.0,0,0,2.0,3343.0,2.0,,1,1,0,0,1.0,1.0,0,0,0,0,37.0,1.0,5.0,84.0,12.0,5.0,8.0,8.0,2.0,6.0,6.0,6.0,1.0,0.0,4.0,1.0,1.0,7.0,7.0,7.0,4.0,1.0,7.0,7.0,1.0,4.0,4.0,3.0,2.0,ES52,10,6.0
5.0,1.0,1.0,8.0,2.0,3.0,5.0,2.0,3.0,6.0,4.0,2.0,1985.0,37.0,1.0,0,0,2.0,0,0,720.0,24.0,1.0,3.0,2.0,4.0,,0,0,8.0,2634.0,2.0,7.0,1,0,0,0,3.0,1.0,0,0,0,0,28.0,2.0,6.0,88.0,19.0,5.0,7.0,8.0,1.0,6.0,5.0,5.0,1.0,10.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,1.0,3.0,7.0,3.0,3.0,2.0,2.0,1.0,ES52,5,9.0
7.0,1.0,1.0,6.0,3.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,1966.0,56.0,1.0,0,0,2.0,0,0,520.0,15.0,1.0,3.0,1.0,1.0,,0,0,0.0,3343.0,2.0,7.0,1,1,0,0,4.0,1.0,0,0,0,0,40.0,1.0,4.0,20.0,16.0,2.0,6.0,8.0,2.0,6.0,6.0,6.0,1.0,5.0,2.0,1.0,1.0,1.0,7.0,7.0,2.0,3.0,1.0,7.0,1.0,4.0,3.0,2.0,2.0,ES51,10,6.0
8.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,1.0,1984.0,38.0,2.0,1,0,1.0,0,0,222.0,18.0,1.0,3.0,4.0,1.0,2.0,0,0,8.0,5153.0,2.0,3.0,1,0,0,0,3.0,1.0,0,1,0,0,37.0,1.0,8.0,85.0,13.0,2.0,8.0,2.0,1.0,5.0,3.0,2.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,3.0,1.0,2.0,1.0,2.0,ES30,10,9.0
8.0,1.0,1.0,7.0,3.0,3.0,4.0,2.0,3.0,6.0,3.0,1.0,1974.0,48.0,1.0,0,0,2.0,0,0,620.0,20.0,1.0,4.0,1.0,1.0,10.0,0,0,6.0,2161.0,1.0,1.0,1,1,0,0,4.0,1.0,0,0,0,0,5.0,1.0,6.0,42.0,18.0,6.0,8.0,7.0,2.0,3.0,3.0,3.0,1.0,6.0,2.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,3.0,3.0,2.0,ES61,6,4.0
9.0,2.0,1.0,5.0,2.0,3.0,2.0,7.0,3.0,5.0,2.0,1.0,1985.0,37.0,2.0,0,0,2.0,1,0,313.0,17.0,1.0,1.0,4.0,1.0,1.0,0,0,3.0,5153.0,2.0,6.0,1,0,0,0,4.0,2.0,0,0,0,0,18.0,2.0,7.0,93.0,12.0,7.0,7.0,5.0,2.0,6.0,1.0,2.0,1.0,9.0,2.0,1.0,4.0,3.0,6.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,ES41,7,2.0
8.0,2.0,1.0,7.0,3.0,3.0,0.0,3.0,2.0,5.0,2.0,1.0,1960.0,62.0,2.0,0,0,2.0,0,0,720.0,18.0,2.0,,2.0,2.0,,0,1,10.0,,1.0,3.0,1,0,0,0,5.0,2.0,0,0,0,0,50.0,,10.0,,19.0,4.0,8.0,7.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,2.0,4.0,1.0,6.0,1.0,3.0,2.0,3.0,3.0,ES30,2,7.0
10.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1971.0,51.0,2.0,0,0,1.0,1,0,313.0,15.0,1.0,5.0,2.0,1.0,6.0,0,0,5.0,4311.0,1.0,7.0,1,0,0,0,3.0,1.0,0,0,0,0,50.0,1.0,10.0,49.0,11.0,5.0,7.0,8.0,2.0,5.0,2.0,2.0,1.0,10.0,1.0,1.0,1.0,6.0,7.0,6.0,2.0,1.0,1.0,7.0,3.0,4.0,2.0,1.0,2.0,ES53,5,8.0
10.0,1.0,1.0,9.0,2.0,3.0,1.0,7.0,2.0,6.0,4.0,2.0,1980.0,42.0,2.0,0,0,2.0,0,0,113.0,10.0,2.0,,2.0,2.0,,0,0,2.0,5142.0,,4.0,1,1,0,0,5.0,2.0,0,0,0,0,,,4.0,96.0,3.0,8.0,9.0,9.0,2.0,6.0,55.0,,2.0,,,,,,,,,,,,,3.0,3.0,2.0,3.0,ES61,9,9.0
8.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,1999.0,23.0,1.0,0,0,2.0,1,0,620.0,19.0,1.0,1.0,3.0,1.0,4.0,1,0,0.0,5131.0,2.0,5.0,1,0,0,0,4.0,1.0,0,0,0,0,50.0,2.0,2.0,56.0,18.0,6.0,7.0,8.0,1.0,6.0,2.0,2.0,1.0,5.0,2.0,1.0,3.0,4.0,7.0,4.0,2.0,3.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,ES61,10,4.0
3.0,1.0,1.0,8.0,3.0,3.0,4.0,0.0,4.0,6.0,2.0,1.0,1985.0,37.0,1.0,0,0,2.0,1,0,620.0,25.0,1.0,5.0,2.0,1.0,8.0,0,0,3.0,2141.0,1.0,3.0,0,1,0,0,4.0,2.0,0,0,0,0,50.0,1.0,6.0,32.0,18.0,5.0,8.0,9.0,2.0,6.0,2.0,1.0,1.0,10.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,3.0,6.0,1.0,3.0,4.0,3.0,2.0,ES62,10,7.0
7.0,1.0,1.0,7.0,3.0,3.0,5.0,0.0,4.0,6.0,2.0,2.0,1959.0,63.0,1.0,0,0,2.0,0,0,113.0,11.0,2.0,,3.0,1.0,3.0,0,0,3.0,5221.0,2.0,,1,0,0,0,5.0,1.0,0,0,0,0,38.0,,3.0,47.0,3.0,5.0,8.0,10.0,2.0,6.0,55.0,,2.0,,,,,,,,,,,,,3.0,3.0,1.0,3.0,ES51,10,10.0
10.0,1.0,1.0,7.0,1.0,3.0,5.0,7.0,4.0,7.0,4.0,2.0,1995.0,27.0,1.0,0,0,2.0,1,0,720.0,26.0,1.0,3.0,2.0,1.0,10.0,1,0,4.0,2221.0,2.0,7.0,1,0,0,0,2.0,2.0,0,0,0,0,20.0,2.0,6.0,86.0,19.0,7.0,8.0,8.0,1.0,6.0,55.0,,1.0,7.0,2.0,2.0,5.0,4.0,6.0,6.0,2.0,1.0,4.0,6.0,6.0,5.0,4.0,4.0,1.0,ES52,10,7.0
0.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1993.0,29.0,1.0,0,0,2.0,1,0,720.0,20.0,1.0,4.0,4.0,1.0,1.0,0,0,7.0,2424.0,1.0,6.0,1,0,0,0,4.0,1.0,0,0,0,0,45.0,2.0,10.0,70.0,19.0,7.0,10.0,6.0,1.0,5.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,3.0,1.0,ES70,10,5.0
10.0,1.0,1.0,6.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,1967.0,55.0,1.0,0,0,2.0,0,0,313.0,15.0,1.0,2.0,2.0,1.0,,0,0,9.0,3343.0,2.0,6.0,1,1,0,0,4.0,1.0,0,0,0,0,40.0,1.0,9.0,70.0,11.0,2.0,7.0,6.0,2.0,2.0,6.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,ES30,6,5.0
8.0,1.0,1.0,8.0,3.0,3.0,5.0,3.0,2.0,4.0,5.0,2.0,1973.0,49.0,2.0,0,0,2.0,0,0,421.0,15.0,1.0,1.0,2.0,1.0,5.0,0,0,10.0,2342.0,2.0,6.0,1,1,0,0,4.0,2.0,0,0,0,0,32.0,1.0,7.0,85.0,15.0,5.0,4.0,8.0,2.0,6.0,6.0,5.0,1.0,10.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,3.0,2.0,2.0,2.0,ES42,7,8.0
7.0,1.0,1.0,5.0,3.0,2.0,1.0,5.0,2.0,1.0,3.0,2.0,1966.0,56.0,1.0,0,0,2.0,0,0,222.0,11.0,1.0,2.0,2.0,1.0,,0,0,0.0,5321.0,2.0,7.0,1,0,0,0,4.0,1.0,0,0,0,0,,2.0,0.0,87.0,13.0,5.0,8.0,5.0,,6.0,3.0,3.0,1.0,0.0,4.0,1.0,4.0,7.0,7.0,6.0,2.0,2.0,6.0,7.0,6.0,5.0,5.0,5.0,1.0,ES41,10,0.0
8.0,1.0,1.0,8.0,2.0,3.0,4.0,1.0,1.0,5.0,2.0,2.0,1980.0,42.0,1.0,0,0,2.0,0,0,800.0,20.0,1.0,5.0,1.0,1.0,8.0,1,0,2.0,2220.0,2.0,1.0,1,0,0,0,2.0,2.0,0,0,0,0,37.0,2.0,8.0,86.0,20.0,6.0,10.0,3.0,2.0,6.0,4.0,3.0,1.0,8.0,2.0,5.0,5.0,4.0,6.0,6.0,2.0,3.0,4.0,6.0,6.0,3.0,4.0,3.0,2.0,ES52,8,8.0
10.0,1.0,1.0,7.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,2.0,1968.0,54.0,1.0,0,0,2.0,0,0,113.0,,1.0,1.0,2.0,1.0,4.0,0,0,,5153.0,2.0,7.0,1,1,0,0,4.0,1.0,0,0,0,0,12.0,1.0,10.0,97.0,3.0,10.0,6.0,10.0,,6.0,55.0,,2.0,,,,,,,,,,,,,2.0,1.0,1.0,2.0,ES23,10,8.0
10.0,1.0,1.0,5.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,1990.0,32.0,2.0,0,0,2.0,0,0,322.0,15.0,1.0,3.0,2.0,1.0,6.0,0,0,0.0,4222.0,2.0,7.0,1,1,0,0,4.0,1.0,0,0,0,0,40.0,1.0,2.0,65.0,14.0,6.0,10.0,5.0,2.0,6.0,6.0,6.0,1.0,4.0,2.0,2.0,6.0,6.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,5.0,5.0,3.0,1.0,ES30,10,4.0
5.0,1.0,1.0,6.0,3.0,1.0,2.0,6.0,3.0,4.0,2.0,2.0,1961.0,61.0,2.0,0,0,1.0,0,0,213.0,11.0,1.0,1.0,3.0,1.0,1.0,1,0,7.0,5322.0,2.0,8.0,1,0,0,0,4.0,1.0,0,0,0,0,6.0,1.0,8.0,88.0,8.0,4.0,4.0,3.0,,5.0,6.0,4.0,1.0,5.0,2.0,4.0,6.0,4.0,6.0,4.0,,,,,,3.0,2.0,2.0,2.0,ES52,5,7.0
2.0,1.0,1.0,8.0,2.0,3.0,3.0,0.0,2.0,4.0,2.0,2.0,1984.0,38.0,1.0,0,0,2.0,0,0,720.0,8.0,3.0,1.0,2.0,1.0,8.0,0,0,3.0,4110.0,2.0,7.0,1,0,0,0,4.0,1.0,0,0,0,0,22.0,3.0,7.0,43.0,19.0,8.0,10.0,2.0,2.0,3.0,6.0,5.0,1.0,3.0,3.0,3.0,4.0,3.0,7.0,1.0,,,,,,4.0,5.0,2.0,2.0,ES51,6,3.0
8.0,1.0,1.0,9.0,3.0,2.0,4.0,1.0,5.0,6.0,3.0,1.0,1985.0,37.0,1.0,0,0,2.0,0,0,213.0,15.0,3.0,3.0,1.0,2.0,10.0,1,1,10.0,1120.0,1.0,6.0,1,1,0,0,4.0,2.0,0,0,0,0,50.0,1.0,10.0,45.0,9.0,8.0,10.0,5.0,2.0,1.0,6.0,6.0,2.0,,,,,,,,4.0,3.0,1.0,7.0,1.0,4.0,1.0,1.0,3.0,ES42,0,10.0
